0,25,25
1,15,14
2,9,11
3,7,4
4,16,20
5,21,16
6,15,9
7,10,13
8,255,247
9,8,1
10,8,2
11,255,244
12,0,12
13,0,13
14,254,240
15,9,6
16,9,25
17,254,239
18,0,18
19,255,236
20,128,148
21,128,149
22,128,150
23,0,23
24,255,231
25,128,153
26,128,154
27,128,155
28,0,28
29,126,99
30,129,159
31,129,158
32,126,94
33,1,32
34,2,32
35,4,39
36,8,44
37,16,53
38,32,6
39,64,103
40,128,168
41,64,105
42,32,10
43,16,59
44,8,36
45,4,41
46,2,44
47,1,46
48,129,177
49,66,115
50,36,22
51,24,43
52,0,52
53,129,180
54,66,116
55,36,19
56,24,32
57,14,55
58,31,37
59,63,4
60,126,66
61,63,2
62,31,33
63,14,49
64,24,88
65,60,125
66,126,60
67,251,184
68,255,187
69,231,162
70,195,133
71,129,198
72,0,72
73,0,73
74,24,82
75,24,83
76,0,76
77,0,77
78,24,86
79,24,87
80,24,72
81,60,109
82,126,44
83,127,44
84,188,232
85,60,105
86,124,42
87,60,107
88,62,102
89,127,38
90,254,164
91,127,36
92,62,98
93,60,97
94,124,34
95,60,99
96,188,220
97,127,30
98,126,28
99,60,95
100,24,124
101,9,108
102,128,230
103,2,101
104,72,32
105,96,9
106,10,96
107,0,107
108,130,238
109,33,76
110,1,111
111,136,231
112,0,112
113,66,51
114,33,83
115,8,123
116,24,108
117,36,81
118,66,52
119,153,238
120,36,92
121,66,59
122,153,227
123,36,95
124,66,62
125,129,252
126,0,126
127,0,127
